frame.number,frame.time,frame.len,eth.src,eth.dst,ip.src,ip.dst,ip.proto,ip.len,tcp.len,tcp.srcport,tcp.dstport,Value,normality,ExtractedIPSrc,ExtractedIPDst,ExtractedEthSrc,ExtractedEthDst,ExtractedErrorMessage
9,123722750551006,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,56521.0,-99.0,0,,,,,
18,123722861240051,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,56127.0,-99.0,0,,,,,
27,123722974641916,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,52061.0,-99.0,0,,,,,
37,123723084768869,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,60279.0,-99.0,0,,,,,
46,123723199143947,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,63796.0,-99.0,0,,,,,
54,123723309102531,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,49652.0,-99.0,0,,,,,
64,123723424021047,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,53937.0,-99.0,0,,,,,
74,123723534181870,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,58223.0,-99.0,0,,,,,
85,123723650570757,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,50356.0,-99.0,0,,,,,
86,123723868375440,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,50356.0,-99.0,0,,,,,
96,123723888379369,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,50364.0,-99.0,0,,,,,
105,123723912435418,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,62713.0,-99.0,0,,,,,
114,123724005951868,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,57166.0,-99.0,0,,,,,
123,123724116784925,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,65144.0,-99.0,0,,,,,
132,123724231103415,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,63006.0,-99.0,0,,,,,
142,123724343264346,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,56588.0,-99.0,0,,,,,
151,123724455427761,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,63984.0,-99.0,0,,,,,
160,123724568730451,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,51211.0,-99.0,0,,,,,
169,123724679809933,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,54578.0,-99.0,0,,,,,
178,123724792925222,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,50979.0,-99.0,0,,,,,
188,123724905691506,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,54473.0,-99.0,0,,,,,
197,123725016717660,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,54444.0,-99.0,0,,,,,
198,123725236321589,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,54444.0,-99.0,0,,,,,
208,123725276006287,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,57058.0,-99.0,0,,,,,
217,123725300653543,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,50830.0,-99.0,0,,,,,
227,123725388008943,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,58650.0,-99.0,0,,,,,
236,123725499971400,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,55563.0,-99.0,0,,,,,
245,123725612855556,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,56118.0,-99.0,0,,,,,
255,123725730072890,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,57762.0,-99.0,0,,,,,
264,123725839406044,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,62810.0,-99.0,0,,,,,
273,123725954655911,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,52928.0,-99.0,0,,,,,
282,123726065300453,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,54446.0,-99.0,0,,,,,
291,123726176258420,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,58524.0,-99.0,0,,,,,
301,123726289739874,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,49725.0,-99.0,0,,,,,
311,123726402011720,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,59191.0,-99.0,0,,,,,
320,123726518871794,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,50258.0,-99.0,0,,,,,
321,123726740308573,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,50258.0,-99.0,0,,,,,
322,123726964310089,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,50258.0,-99.0,0,,,,,
331,123726988827389,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,57497.0,-99.0,0,,,,,
341,123727082218379,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,54591.0,-99.0,0,,,,,
350,123727192860633,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,64201.0,-99.0,0,,,,,
359,123727305533895,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,53128.0,-99.0,0,,,,,
368,123727421013931,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,65126.0,-99.0,0,,,,,
377,123727529778054,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,52868.0,-99.0,0,,,,,
388,123727641988951,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,63416.0,-99.0,0,,,,,
397,123727755710652,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,59286.0,-99.0,0,,,,,
406,123727873722556,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,63289.0,-99.0,0,,,,,
415,123727987441172,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,59719.0,-99.0,0,,,,,
424,123728097732411,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,55376.0,-99.0,0,,,,,
434,123728209659496,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,64318.0,-99.0,0,,,,,
443,123728318628555,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,49542.0,-99.0,0,,,,,
452,123728430938914,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,54337.0,-99.0,0,,,,,
461,123728545146591,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,54531.0,-99.0,0,,,,,
470,123728656982164,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,52124.0,-99.0,0,,,,,
480,123728768776627,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,57495.0,-99.0,0,,,,,
489,123728883977155,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,52343.0,-99.0,0,,,,,
498,123728998821112,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,53826.0,-99.0,0,,,,,
507,123729118886053,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,61525.0,-99.0,0,,,,,
516,123729217966638,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,55486.0,-99.0,0,,,,,
526,123729331278904,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,55994.0,-99.0,0,,,,,
535,123729446032812,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,61956.0,-99.0,0,,,,,
544,123729557179531,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,59008.0,-99.0,0,,,,,
553,123729670103000,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,51800.0,-99.0,0,,,,,
562,123729779599044,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,64003.0,-99.0,0,,,,,
572,123729892328161,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,49356.0,-99.0,0,,,,,
581,123730005906437,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,52384.0,-99.0,0,,,,,
590,123730118293004,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,59069.0,-99.0,0,,,,,
599,123730234288866,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,62913.0,-99.0,0,,,,,
609,123730345420942,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,64400.0,-99.0,0,,,,,
619,123730456396526,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,52098.0,-99.0,0,,,,,
628,123730568236086,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,57935.0,-99.0,0,,,,,
637,123730679786702,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,51632.0,-99.0,0,,,,,
645,123730794631495,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,50226.0,-99.0,0,,,,,
655,123730905410716,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,63736.0,-99.0,0,,,,,
665,123731017165305,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,50581.0,-99.0,0,,,,,
674,123731130958856,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,61744.0,-99.0,0,,,,,
683,123731269262765,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,55082.0,-99.0,0,,,,,
693,123731358394768,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,55669.0,-99.0,0,,,,,
702,123731469893494,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,62248.0,-99.0,0,,,,,
711,123731580625471,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,63019.0,-99.0,0,,,,,
721,123731693630816,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,52440.0,-99.0,0,,,,,
730,123731805319035,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,53703.0,-99.0,0,,,,,
739,123731918887312,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,65215.0,-99.0,0,,,,,
748,123732031918204,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,53820.0,-99.0,0,,,,,
758,123732142756717,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,63976.0,-99.0,0,,,,,
767,123732254148370,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,62010.0,-99.0,0,,,,,
775,123732366872037,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,53037.0,-99.0,0,,,,,
785,123732484811805,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,63090.0,-99.0,0,,,,,
794,123732596435508,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,52493.0,-99.0,0,,,,,
804,123732705858602,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,61813.0,-99.0,0,,,,,
813,123732816641029,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,55424.0,-99.0,0,,,,,
822,123732931543526,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,51546.0,-99.0,0,,,,,
831,123733041940070,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,64749.0,-99.0,0,,,,,
840,123733154058541,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,52160.0,-99.0,0,,,,,
850,123733267022635,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,52652.0,-99.0,0,,,,,
859,123733381587436,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,60251.0,-99.0,0,,,,,
868,123733493385877,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,52301.0,-99.0,0,,,,,
877,123733605943818,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,52228.0,-99.0,0,,,,,
886,123733720145041,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,53080.0,-99.0,0,,,,,
896,123733832316107,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,51534.0,-99.0,0,,,,,
905,123733945784098,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,57771.0,-99.0,0,,,,,
914,123734056085581,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,49361.0,-99.0,0,,,,,
923,123734169672259,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,64593.0,-99.0,0,,,,,
932,123734277899628,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,49861.0,-99.0,0,,,,,
942,123734393090683,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,58067.0,-99.0,0,,,,,
951,123734505527115,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,51507.0,-99.0,0,,,,,
960,123734616421642,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,57348.0,-99.0,0,,,,,
969,123734732507366,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,59240.0,-99.0,0,,,,,
977,123734847181460,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,65395.0,-99.0,0,,,,,
988,123735015661699,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,56943.0,-99.0,0,,,,,
997,123735068936429,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,59251.0,-99.0,0,,,,,
1006,123735179987468,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,53637.0,-99.0,0,,,,,
1015,123735293152129,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,52226.0,-99.0,0,,,,,
1025,123735404957406,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,60400.0,-99.0,0,,,,,
1035,123735522509641,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,62316.0,-99.0,0,,,,,
1044,123735628643178,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,55608.0,-99.0,0,,,,,
1053,123735746411943,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,49601.0,-99.0,0,,,,,
1062,123735856957054,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,57030.0,-99.0,0,,,,,
1071,123735971143828,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,50809.0,-99.0,0,,,,,
1081,123736083282460,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,58275.0,-99.0,0,,,,,
1090,123736193068358,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,65443.0,-99.0,0,,,,,
1099,123736305602039,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,50067.0,-99.0,0,,,,,
1109,123736418871712,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,61624.0,-99.0,0,,,,,
1120,123736528015413,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,55541.0,-99.0,0,,,,,
1130,123736640023048,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,51459.0,-99.0,0,,,,,
1141,123736789910760,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,64923.0,-99.0,0,,,,,
1150,123736865107160,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,51101.0,-99.0,0,,,,,
1159,123736985255216,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,59854.0,-99.0,0,,,,,
1168,123737096680700,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,57096.0,-99.0,0,,,,,
1178,123737206482865,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,56127.0,-99.0,0,,,,,
1187,123737318745397,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,50398.0,-99.0,0,,,,,
1196,123737496951543,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,51671.0,-99.0,0,,,,,
1207,123737540613071,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,65410.0,-99.0,0,,,,,
1208,123737764317524,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,65410.0,-99.0,0,,,,,
1219,123737789809885,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,53779.0,-99.0,0,,,,,
1228,123737879785158,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,56401.0,-99.0,0,,,,,
1238,123737992505124,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,51977.0,-99.0,0,,,,,
1247,123738111848092,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,55404.0,-99.0,0,,,,,
1256,123738222213072,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,63610.0,-99.0,0,,,,,
1265,123738333002399,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,50993.0,-99.0,0,,,,,
1274,123738445011475,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,64428.0,-99.0,0,,,,,
1286,123738556876660,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,63778.0,-99.0,0,,,,,
1295,123738668775760,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,53985.0,-99.0,0,,,,,
1306,123738781107429,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,58912.0,-99.0,0,,,,,
1315,123738893749787,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,53791.0,-99.0,0,,,,,
1324,123739005848764,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,64676.0,-99.0,0,,,,,
1334,123739116315662,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,65172.0,-99.0,0,,,,,
1343,123739232125202,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,65374.0,-99.0,0,,,,,
1352,123739451488752,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,61326.0,-99.0,0,,,,,
1361,123739475460692,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,54020.0,-99.0,0,,,,,
1372,123739569067402,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,59141.0,-99.0,0,,,,,
1382,123739682251328,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,58592.0,-99.0,0,,,,,
1393,123739794328969,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,49755.0,-99.0,0,,,,,
1402,123739906638702,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,62516.0,-99.0,0,,,,,
1411,123740016856299,288,167275820076079,87971959760497,1921680121,192168035,6.0,274.0,234.0,80.0,60798.0,-99.0,0,,,,,
